Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Syngnathus,typhle,44.25,9.25,1400:249:1,0.54
Syngnathus,typhle,44.25,8.75,1400:248:2,0.52
Syngnathus,typhle,43.25,9.75,1400:239:2,0.59
Syngnathus,typhle,43.25,9.25,1400:239:1,0.57
Syngnathus,typhle,43.25,6.75,1400:236:2,0.56
Syngnathus,typhle,42.25,9.75,1400:229:2,0.57
Syngnathus,typhle,43.25,4.25,1400:134:1,0.45
Syngnathus,typhle,36.75,31.75,1303:361:4,0.42
Syngnathus,typhle,34.75,36.25,1303:246:3,0.57
Syngnathus,typhle,31.75,34.25,1303:114:3,0.54
Syngnathus,typhle,31.25,34.25,1303:114:1,0.42
Syngnathus,typhle,31.25,33.75,1303:113:2,0.50
Syngnathus,typhle,31.25,33.25,1303:113:1,0.50
Syngnathus,typhle,31.75,32.25,1303:112:3,0.41
Syngnathus,typhle,31.25,32.25,1303:112:1,0.51
Syngnathus,typhle,31.25,31.75,1303:111:2,0.44
Syngnathus,typhle,31.75,30.75,1303:110:4,0.44
Syngnathus,typhle,38.75,26.75,1302:486:4,0.46
Syngnathus,typhle,38.25,26.25,1302:486:1,0.47
Syngnathus,typhle,36.75,25.25,1302:465:3,0.49
Syngnathus,typhle,39.25,20.25,1302:390:1,0.48
Syngnathus,typhle,38.25,21.25,1302:381:1,0.47
Syngnathus,typhle,38.75,20.75,1302:380:4,0.48
Syngnathus,typhle,38.25,20.75,1302:380:2,0.47
Syngnathus,typhle,37.75,21.25,1302:371:3,0.50
Syngnathus,typhle,37.25,21.25,1302:371:1,0.53
Syngnathus,typhle,37.75,20.75,1302:370:4,0.42
Syngnathus,typhle,35.75,24.25,1302:354:3,0.50
Syngnathus,typhle,35.75,23.75,1302:353:4,0.56
Syngnathus,typhle,32.25,20.25,1302:120:1,0.43
Syngnathus,typhle,39.75,19.75,1301:499:4,0.55
Syngnathus,typhle,39.75,19.25,1301:499:3,0.50
Syngnathus,typhle,39.25,19.75,1301:499:2,0.45
Syngnathus,typhle,39.75,18.25,1301:498:3,0.42
Syngnathus,typhle,39.75,17.25,1301:497:3,0.44
Syngnathus,typhle,39.25,17.25,1301:497:1,0.45
Syngnathus,typhle,39.75,16.75,1301:496:4,0.42
Syngnathus,typhle,38.75,17.25,1301:487:3,0.47
Syngnathus,typhle,38.75,16.75,1301:486:4,0.46
Syngnathus,typhle,38.25,16.75,1301:486:2,0.50
Syngnathus,typhle,38.25,16.25,1301:486:1,0.52
Syngnathus,typhle,36.25,10.25,1301:360:1,0.45
Syngnathus,typhle,35.25,10.75,1301:350:2,0.42
Syngnathus,typhle,32.25,19.75,1301:229:2,0.42
Syngnathus,typhle,32.25,15.25,1301:225:1,0.46
Syngnathus,typhle,31.75,19.75,1301:219:4,0.47
Syngnathus,typhle,31.25,17.75,1301:217:2,0.53
Syngnathus,typhle,31.25,17.25,1301:217:1,0.48
Syngnathus,typhle,31.25,16.75,1301:216:2,0.50
Syngnathus,typhle,32.75,14.75,1301:124:4,0.50
Syngnathus,typhle,32.75,14.25,1301:124:3,0.57
Syngnathus,typhle,56.25,-3.25,7500:363:1,0.75
Syngnathus,typhle,56.25,-2.75,7500:362:2,0.62
Syngnathus,typhle,55.75,-3.25,7500:353:3,0.74
Syngnathus,typhle,55.25,-3.25,7500:353:1,0.78
Syngnathus,typhle,50.75,-5.25,7500:205:3,0.78
Syngnathus,typhle,54.75,-3.75,7500:143:4,0.78
Syngnathus,typhle,53.75,-3.25,7500:133:3,0.77
Syngnathus,typhle,53.25,-3.25,7500:133:1,0.75
Syngnathus,typhle,53.25,-2.75,7500:132:2,0.78
Syngnathus,typhle,51.25,-4.25,7500:114:1,0.64
Syngnathus,typhle,51.75,-3.75,7500:113:4,0.63
Syngnathus,typhle,51.75,-3.25,7500:113:3,0.65
Syngnathus,typhle,51.75,-2.75,7500:112:4,0.76
Syngnathus,typhle,47.25,-2.75,7400:372:2,0.64
Syngnathus,typhle,47.25,-1.75,7400:371:2,0.74
Syngnathus,typhle,45.25,-1.25,7400:351:1,0.73
