"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cjuli","Mu_Fa","N2","Random forest",744471.80525,615213.194444444,895566.666666667,"Bimodal"
"Cjuli","Mu_Fa","Na","Neural network",438619.964430788,380508.190311945,494971.754266883,"Bimodal"
"Cjuli","Mu_Fa","Na","Random forest",444189.987833333,383663.121693122,524590.325203252,"Bimodal"
"Cjuli","Mu_Fa","shape_N_a","Neural network",2.93970046965062,2.51459032833797,3.42646295150546,"Bimodal"
"Cjuli","Mu_Fa","shape_N_a","Random forest",3.0711827395,2.520959,3.611454375,"Bimodal"
"Cjuli","Mu_Fa","shape_N_b","Neural network",4.22611822846418,3.3801096003275,5.07156076107852,"Bimodal"
"Cjuli","Mu_Fa","shape_N_b","Random forest",4.23327012516667,3.18911068493151,5.216066,"Bimodal"
"Cjuli","Mu_Fa","Tsplit","Neural network",1434904.71917142,1299897.82789378,1560468.15243736,"Bimodal"
"Cjuli","Mu_Fa","Tsplit","Random forest",1348759.226,1133740,1555402.45614035,"Bimodal"
"Cjuli","Mu_Fa","Tsc","Neural network",123903.591583848,102898.795708007,145557.612835745,"Bimodal"
"Cjuli","Mu_Fa","Tsc","Random forest",123628.781666667,96092.1893491124,150436.666666667,"Bimodal"
"Cjuli","Mu_Fa","M12","Neural network",11.1906874272033,9.40461533471623,13.0830455260155,"Bimodal"
"Cjuli","Mu_Fa","M12","Random forest",11.1945578046667,8.913642,13.2492929441624,"Bimodal"
"Cjuli","Mu_Fa","nBarriersM12","Neural network",0.0832038416279682,0.0685031174013749,0.0990612938791915,"Bimodal"
"Cjuli","Mu_Fa","nBarriersM12","Random forest",0.0862316575897222,0.0687054880603268,0.103896103896104,"Bimodal"
"Cjuli","Mu_Fa","M21","Neural network",12.8051288266593,10.317595594354,15.3005523620546,"Bimodal"
"Cjuli","Mu_Fa","M21","Random forest",12.6831068965,9.683991875,15.7650933333333,"Bimodal"
"Cjuli","Mu_Fa","nBarriersM21","Neural network",0.283984272932912,0.248726016079512,0.321357995474018,"Bimodal"
"Cjuli","Mu_Fa","nBarriersM21","Random forest",0.273313622399106,0.227482195224131,0.323418516966904,"Bimodal"
