Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,fallax,62.25,17.25,1601:227:1,0.36
Alosa,fallax,61.25,19.25,1601:219:1,0.20
Alosa,fallax,61.25,18.75,1601:218:2,0.20
Alosa,fallax,60.75,19.25,1601:209:3,0.21
Alosa,fallax,60.25,19.75,1601:209:2,0.20
Alosa,fallax,60.25,19.25,1601:209:1,0.22
Alosa,fallax,60.25,18.75,1601:208:2,0.20
Alosa,fallax,65.75,8.25,1600:458:3,0.31
Alosa,fallax,65.75,5.75,1600:455:4,0.34
Alosa,fallax,64.25,5.75,1600:245:2,0.25
Alosa,fallax,61.75,3.25,1600:113:3,0.20
Alosa,fallax,61.25,3.75,1600:113:2,0.28
Alosa,fallax,61.75,2.75,1600:112:4,0.21
Alosa,fallax,59.25,23.25,1502:393:1,0.28
Alosa,fallax,59.25,22.75,1502:392:2,0.35
Alosa,fallax,59.75,21.25,1502:391:3,0.26
Alosa,fallax,59.75,20.75,1502:390:4,0.24
Alosa,fallax,59.75,20.25,1502:390:3,0.35
Alosa,fallax,56.25,21.25,1502:361:1,0.22
Alosa,fallax,59.75,19.75,1501:499:4,0.34
Alosa,fallax,59.75,19.25,1501:499:3,0.33
Alosa,fallax,59.25,18.75,1501:498:2,0.34
Alosa,fallax,57.25,16.75,1501:476:2,0.39
Alosa,fallax,56.75,11.25,1501:361:3,0.38
Alosa,fallax,54.75,11.75,1501:141:4,0.22
Alosa,fallax,54.75,7.75,1500:247:4,0.38
Alosa,fallax,52.25,4.75,1500:124:2,0.34
Alosa,fallax,52.25,4.25,1500:124:1,0.32
Alosa,fallax,52.25,3.75,1500:123:2,0.39
Alosa,fallax,52.75,1.25,1500:121:3,0.29
Alosa,fallax,52.75,0.75,1500:120:4,0.24
Alosa,fallax,51.75,4.25,1500:114:3,0.38
Alosa,fallax,51.25,3.25,1500:113:1,0.33
Alosa,fallax,45.75,36.75,1403:456:4,0.27
Alosa,fallax,45.25,35.75,1403:455:2,0.27
Alosa,fallax,46.25,33.25,1403:363:1,0.22
Alosa,fallax,43.75,30.75,1403:130:4,0.23
Alosa,fallax,45.75,12.75,1401:352:4,0.33
Alosa,fallax,42.75,13.75,1401:123:4,0.20
Alosa,fallax,41.75,10.25,1401:110:3,0.32
Alosa,fallax,41.25,0.75,1400:110:2,0.20
Alosa,fallax,40.75,1.75,1400:101:4,0.26
Alosa,fallax,36.75,36.25,1303:466:3,0.23
Alosa,fallax,37.25,27.75,1302:477:2,0.28
Alosa,fallax,37.25,27.25,1302:477:1,0.24
Alosa,fallax,37.75,26.75,1302:476:4,0.37
Alosa,fallax,37.25,26.75,1302:476:2,0.28
Alosa,fallax,37.25,26.25,1302:476:1,0.30
Alosa,fallax,37.25,25.75,1302:475:2,0.39
Alosa,fallax,36.75,26.75,1302:466:4,0.20
Alosa,fallax,36.75,26.25,1302:466:3,0.25
Alosa,fallax,36.25,26.75,1302:466:2,0.21
Alosa,fallax,36.25,26.25,1302:466:1,0.25
Alosa,fallax,36.75,25.75,1302:465:4,0.33
Alosa,fallax,36.25,25.75,1302:465:2,0.29
Alosa,fallax,36.25,25.25,1302:465:1,0.35
Alosa,fallax,35.75,26.75,1302:456:4,0.20
Alosa,fallax,35.75,26.25,1302:456:3,0.25
Alosa,fallax,35.25,26.25,1302:456:1,0.23
Alosa,fallax,35.75,25.75,1302:455:4,0.29
Alosa,fallax,35.75,25.25,1302:455:3,0.23
Alosa,fallax,35.25,25.75,1302:455:2,0.24
Alosa,fallax,35.25,25.25,1302:455:1,0.24
Alosa,fallax,38.25,20.25,1302:380:1,0.34
Alosa,fallax,37.75,20.75,1302:370:4,0.36
Alosa,fallax,36.25,24.75,1302:364:2,0.31
Alosa,fallax,35.75,24.25,1302:354:3,0.37
Alosa,fallax,35.25,24.75,1302:354:2,0.24
Alosa,fallax,35.25,24.25,1302:354:1,0.23
Alosa,fallax,35.25,23.75,1302:353:2,0.23
Alosa,fallax,34.75,23.75,1302:143:4,0.22
Alosa,fallax,31.25,20.25,1302:110:1,0.20
Alosa,fallax,35.25,15.75,1301:455:2,0.38
Alosa,fallax,35.25,15.25,1301:455:1,0.39
Alosa,fallax,36.25,13.75,1301:363:2,0.28
Alosa,fallax,35.25,14.75,1301:354:2,0.34
Alosa,fallax,35.25,13.75,1301:353:2,0.35
Alosa,fallax,35.25,13.25,1301:353:1,0.39
Alosa,fallax,34.75,15.75,1301:245:4,0.24
Alosa,fallax,34.75,15.25,1301:245:3,0.25
Alosa,fallax,32.25,19.75,1301:229:2,0.20
Alosa,fallax,31.75,19.75,1301:219:4,0.21
Alosa,fallax,31.25,19.75,1301:219:2,0.24
Alosa,fallax,31.25,16.25,1301:216:1,0.22
Alosa,fallax,31.75,15.75,1301:215:4,0.20
Alosa,fallax,30.75,19.75,1301:209:4,0.22
Alosa,fallax,30.75,19.25,1301:209:3,0.21
Alosa,fallax,30.25,19.25,1301:209:1,0.21
Alosa,fallax,30.75,18.75,1301:208:4,0.20
Alosa,fallax,30.75,18.25,1301:208:3,0.23
Alosa,fallax,30.25,18.75,1301:208:2,0.21
Alosa,fallax,34.25,14.75,1301:144:2,0.20
Alosa,fallax,34.25,14.25,1301:144:1,0.20
Alosa,fallax,34.75,13.75,1301:143:4,0.27
Alosa,fallax,34.75,13.25,1301:143:3,0.32
Alosa,fallax,34.25,13.75,1301:143:2,0.22
Alosa,fallax,34.25,13.25,1301:143:1,0.26
Alosa,fallax,34.75,12.75,1301:142:4,0.37
Alosa,fallax,34.75,12.25,1301:142:3,0.38
Alosa,fallax,34.25,12.75,1301:142:2,0.29
Alosa,fallax,34.25,12.25,1301:142:1,0.31
Alosa,fallax,34.75,11.75,1301:141:4,0.39
Alosa,fallax,34.75,11.25,1301:141:3,0.37
Alosa,fallax,34.25,11.75,1301:141:2,0.33
Alosa,fallax,34.25,11.25,1301:141:1,0.33
Alosa,fallax,34.75,10.75,1301:140:4,0.28
Alosa,fallax,34.25,10.75,1301:140:2,0.34
Alosa,fallax,34.25,10.25,1301:140:1,0.29
Alosa,fallax,33.75,13.25,1301:133:3,0.20
Alosa,fallax,33.25,13.75,1301:133:2,0.24
Alosa,fallax,33.25,13.25,1301:133:1,0.32
Alosa,fallax,33.75,12.75,1301:132:4,0.25
Alosa,fallax,33.75,12.25,1301:132:3,0.27
Alosa,fallax,33.25,12.75,1301:132:2,0.28
Alosa,fallax,33.25,12.25,1301:132:1,0.25
Alosa,fallax,33.75,11.75,1301:131:4,0.27
Alosa,fallax,33.75,11.25,1301:131:3,0.20
Alosa,fallax,33.25,11.75,1301:131:2,0.23
Alosa,fallax,33.75,10.75,1301:130:4,0.28
Alosa,fallax,33.75,10.25,1301:130:3,0.28
Alosa,fallax,32.75,14.75,1301:124:4,0.20
Alosa,fallax,32.75,14.25,1301:124:3,0.23
Alosa,fallax,32.75,13.75,1301:123:4,0.26
Alosa,fallax,32.75,12.75,1301:122:4,0.20
Alosa,fallax,39.25,7.75,1300:497:2,0.31
Alosa,fallax,38.75,9.75,1300:489:4,0.24
